project_id,project_name,customer_name,account_annual_revenue,assigned_resources
1,College Readiness App Development, Julia LLC, 1500000.00, 5
2,College Readiness Analytics, Julia LLC, 300000.00, 2
3,Unity Web Development, CollegeFox LLC, 150000.00, 1
4,Paypal Mobile App, Paypal Inc, 10000000.00, 15
5,Paypal Mobile Testing App, Paypal Inc, 600000.00, 5
6,Github Testing, Github Inc, 700000.00, 9
7,Book Seller Web Development, Ucons LLC, 450000.00, 4
8,Book Seller Back-End Development, Ucons LLC, 650000.00, 4
9,Student Connect, Coursera Inc, 20500000.00, 27
10,Student Connect 2, Coursera Inc, 100000.00,